track_id,track_name,artist_id,genre_id,bpm,energy,danceability,loudness_db,liveness,valence,length,acousticness,speechiness,popularity
1,"Se orita",1,1,117,55,76,-6.00,8,75,191,4,3,79
2,China,2,2,105,81,79,-4.00,8,61,302,8,9,92
3,"boyfriend (with Social House)",3,1,190,80,40,-4.00,16,70,186,12,46,85
4,"Beautiful People (feat. Khalid)",4,1,93,65,64,-8.00,8,55,198,12,19,86
5,"Goodbyes (Feat. Young Thug)",5,3,150,65,58,-4.00,11,18,175,45,7,94
6,"I Don't Care (with Justin Bieber)",4,1,102,68,80,-5.00,9,84,220,9,4,84
7,Ransom,6,3,180,64,75,-6.00,7,23,131,2,29,92
8,"How Do You Sleep?",7,1,111,68,48,-5.00,8,35,202,15,9,90
9,"Old Town Road - Remix",8,3,136,62,88,-6.00,11,64,157,5,10,87
10,"bad guy",9,1,135,43,70,-11.00,10,56,194,33,38,95
11,Callaita,10,4,176,62,61,-5.00,24,24,251,60,31,93
12,"Loco Contigo (feat. J. Balvin & Tyga)",11,1,96,71,82,-4.00,15,38,185,28,7,86
13,"Someone You Loved",12,1,110,41,50,-6.00,11,45,182,75,3,88
14,"Otro Trago - Remix",13,1,176,79,73,-2.00,6,76,288,7,20,87
15,"Money In The Grave (Drake ft. Rick Ross)",14,5,101,50,83,-4.00,12,10,205,10,5,92
16,"No Guidance (feat. Drake)",15,1,93,45,70,-7.00,16,14,261,12,15,82
17,"LA CANCI N",16,4,176,65,75,-6.00,11,43,243,15,32,90
18,"Sunflower - Spider-Man: Into the Spider-Verse",5,3,90,48,76,-6.00,7,91,158,56,5,91
19,Lalala,17,5,130,39,84,-8.00,14,50,161,18,8,88
20,"Truth Hurts",18,6,158,62,72,-3.00,12,41,173,11,11,91
21,"Piece Of Your Heart",19,1,124,74,68,-7.00,7,63,153,4,3,91
22,Panini,8,3,154,59,70,-6.00,12,48,115,34,8,91
23,"No Me Conoce - Remix",20,2,92,79,81,-4.00,9,58,309,14,7,83
24,"Soltera - Remix",21,4,92,78,80,-4.00,44,80,266,36,4,91
25,"bad guy (with Justin Bieber)",9,1,135,45,67,-11.00,12,68,195,25,30,89
26,"If I Can't Have You",1,1,124,82,69,-4.00,13,87,191,49,6,70
27,"Dance Monkey",22,1,98,59,82,-6.00,18,54,210,69,10,83
28,"It's You",23,5,96,46,73,-7.00,19,40,213,37,3,89
29,"Con Calma",24,4,94,86,74,-3.00,6,66,193,11,6,91
30,"QUE PRETENDES",16,4,93,79,64,-4.00,36,94,222,3,25,89
31,Takeaway,25,7,85,51,29,-8.00,10,36,210,12,4,84
32,"7 rings",3,1,140,32,78,-11.00,9,33,179,59,33,89
33,0.958333333333333,26,4,96,71,78,-5.00,9,68,176,22,28,89
34,"The London (feat. J. Cole & Travis Scott)",27,5,98,59,80,-7.00,13,18,200,2,15,89
35,"Never Really Over",28,1,100,88,77,-5.00,32,39,224,19,6,89
36,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)",29,7,114,72,66,-7.00,14,32,164,18,6,89
37,"Otro Trago",13,1,176,70,75,-5.00,11,62,226,14,34,91
38,"Antisocial (with Travis Scott)",4,1,152,82,72,-5.00,36,91,162,13,5,87
39,Sucker,30,8,138,73,84,-5.00,11,95,181,4,6,80
40,"fuck, i'm lonely (with Anne-Marie) - from  13 Reasons Why: Season 3 ",31,1,95,56,81,-6.00,6,68,199,48,7,78
41,"Higher Love",32,7,104,68,69,-7.00,10,40,228,2,3,88
42,"You Need To Calm Down",33,1,85,68,77,-6.00,7,73,171,1,5,90
43,Shallow,34,1,96,39,57,-6.00,23,32,216,37,3,87
44,Talk,35,1,136,40,90,-9.00,6,35,198,5,13,84
45,"Con Altura",36,9,98,69,88,-4.00,5,75,162,39,12,88
46,"One Thing Right",37,10,88,62,66,-2.00,58,44,182,7,5,88
48,Happier,37,10,100,79,69,-3.00,17,67,214,19,5,88
49,"Call You Mine",25,7,104,70,59,-6.00,41,50,218,23,3,88
50,"Cross Me (feat. Chance the Rapper & PnB Rock)",4,1,95,79,75,-6.00,7,61,206,21,12,82
